tweet_id,author_id,url,twitter_url,text,createdat,views,likes,retweets,replies,quotes,bookmarks,content_type,base_points,media_url
1915378889674596412,1267915742252597250,,https://twitter.com/criptomike94/status/1915378889674596412,"🚨Bitwise Warns‼️‼️

Sovereign Governments Are Outpacing the U.S. in the Race to Accumulate Bitcoin

Bitwise is a leading U.S. crypto investment firm, managing over $12 billion in assets with a global presence following its acquisition of ETC Group.

Bitwise has revealed that sovereign entities, such as central banks and sovereign wealth funds, are already competing to acquire Bitcoin. This stems from concerns that the U.S. may soon begin a massive accumulation of the asset, which could significantly drive up its price. According to its CIO, Matt Hougan, there is a limited window to buy before the market changes drastically.

🔗Source: https://t.co/3VtIIB0Hnm",2025-04-24 12:14:47+00,149,3,1,0,0,0,video,0,https://pbs.twimg.com/amplify_video_thumb/1915378667393286144/img/nzwOVV1nUqKSBVp2.jpg
1915382733561319716,1267915742252597250,,https://twitter.com/criptomike94/status/1915382733561319716,"In 2 hours: @DKScrypto from Yellow talks about AI agents.
  
A key talk on the future of artificial intelligence. Don’t miss it!",2025-04-24 12:30:04+00,89,2,0,0,0,0,,0,
1915417521731014806,1267915742252597250,,https://twitter.com/criptomike94/status/1915417521731014806,"Yellow News🗞️

Alexis, co-founder of @Yellow  Network and a leading figure in the market-making space, recently tweeted about his meeting with the Prime Minister of North Macedonia, Hristijan Mickoski. The discussion focused on the country’s digital banking future.

Key technologies discussed included Ripple Payments, which enables faster and more efficient cross-border payments, and Yellow Network, which provides instant transaction settlement solutions—crucial for modernizing the banking infrastructure.

So, what is Yellow doing meeting with Macedonia’s banking sector?

Exactly what it looks like: Yellow Network is aiming to integrate its blockchain solutions directly into the country’s financial system. This move could position North Macedonia as a forward-thinking hub in the adoption of decentralized financial technologies—cutting costs, speeding up payments, and enhancing banking settlement systems on both national and global levels.",2025-04-24 14:48:18+00,8222,23,9,5,1,0,,0,
1915759338339099025,22130734,,https://twitter.com/reijer_klopman/status/1915759338339099025,"Don't visit the following page of @Yellow if you are prone to addiction.
Yellow is continuously extending its smart wallet. One of their latest additions is the rankings page (https://t.co/csh46EkKLj).
It features a searchable list of cryptocurrencies and a live ticker. https://t.co/gMfi6XXjLT",2025-04-25 13:26:34+00,113,8,1,1,0,0,photo,0,https://pbs.twimg.com/media/GpYkh6LWUAA-o-g.jpg
1915766804581851334,799992467332407296,,https://twitter.com/victorggracia/status/1915766804581851334,"The energy @Yellow exudes is incredible. Not only is it landing big partnerships, with Chris Larsen (Ripple co-founder) backing it with $10M, but it's building the future of trading, elevating traditional trading to the next level. 
You can see more at: https://t.co/l5dJw8pNZU",2025-04-25 13:56:14+00,51,5,1,1,0,0,,0,
1915782731167916378,22130734,,https://twitter.com/reijer_klopman/status/1915782731167916378,"Don't expect these new features of the @Yellow wallet in your Metamask wallet.

Passkeys, and MFA for transactions used to be there for custodial wallets only. Yellow wallet changes the playing field by also providing this, while still being fully non-custodial. https://t.co/JD8hoP9A3D",2025-04-25 14:59:31+00,47,0,0,1,0,0,photo,0,https://pbs.twimg.com/media/GpY6OodWcAAIqxd.jpg
1915790761804566862,3044807060,,https://twitter.com/estovaderelojes/status/1915790761804566862,Crypto: The Calm Before the Storm? + Where @Yellow  Network Fits In,2025-04-25 15:31:25+00,44,5,2,11,0,0,,0,
1915791609444118727,22130734,,https://twitter.com/reijer_klopman/status/1915791609444118727,"Short of funds in your @Yellow wallet? Ofc you can fund it from your Metamask wallet, but what if you do not have funds there either?

Therefore an integration with Coinbase has been added recently. You can transfer funds from your Coinbase account, or use any payment method.",2025-04-25 15:34:48+00,382,9,5,4,1,0,,0,
1915796340237361610,1267915742252597250,,https://twitter.com/criptomike94/status/1915796340237361610,"Yellow News 🗞️

New integration on @Yellow ! You can now deposit funds directly from Coinbase.

One of our ambassadors explains it to you in detail. 👇",2025-04-25 15:53:35+00,174,5,1,0,0,0,,0,
1915796688133902426,3044807060,,https://twitter.com/estovaderelojes/status/1915796688133902426,"@Yellow  is not just another blockchain.
It’s the invisible backbone for decentralized trading.
Fast, secure, compliant, and made for pros.
This is what comes after the CEX era.
#YellowNetwork #DeFi #CryptoInfrastructure #Web3",2025-04-25 15:54:58+00,27,3,1,1,0,0,,0,
